objectid,dc.title,dc.creator,dc.publisher,dc.date,dc.subject,dc.type,dc.description,dc.language,dc.format,dc.source,subgenre,mechanics,platform,mode,mood,theme
borderlands2,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",2012-09-17,Shooter;Action;RPG,Video game,"Borderlands 2 is about Vault Hunters trying to stop Handsome Jack from controlling powerful alien tech. It mixes chaotic shooting, loot progression, and humor on the planet Pandora.",eng,text/plain,,First Person Shooter,Collecting;Driving;Jumping;Destroying;Choosing;Avoiding;Fighting;Sharing,Microsoft Windows XP,Multiplayer;Single-player,,
gtfo,GTFO,10 Chambers,10 Chambers,2021-12-09,Shooter,Video game,"GTFO is a hardcore co-op shooter where prisoners explore deadly underground complexes and complete missions while managing scarce resources. It emphasizes teamwork, stealth, and survival against overwhelming enemies.",eng,text/plain,,First Person Shooter,Avoiding;Collecting;Fighting;Sneaking;Text Input;Sharing;Resource Management;,,Multiplayer;Single-player,,
prey,PREY,Arkane Studios,Bethesda Softworks,2017-05-04,Shooter;RPG;Action,Video game,"Prey is a first-person sci-fi thriller set aboard the space station Talos I, where you play as Morgan Yu uncovering the truth behind a hostile alien outbreak. As you explore, you use a mix of weapons, abilities, and player choice to survive and shape the station’s fate.",eng,text/plain,,First Person Shooter;Stealth;Action-Adventure,Avoiding;Crafting;Collecting;Destroying;Fighting;Jumping;Sneaking,,Single-Player,,
doom,DOOM,id Software,Bethesda Softworks,2016-05-12,,Video game,"Doom is a fast-paced first-person shooter where you play as the Doom Slayer battling hordes of demons unleashed on a Mars research facility. The game emphasizes aggressive combat, powerful weapons, and relentless action as you fight to stop a demonic invasion.",eng,text/plain,,,,,Single-Player,,
aragami2,Aragami 2,Lince Works,Lince Workss,2021-09-17,,Video game,"Aragami 2 is a third-person stealth action game where you play as an undead assassin with shadow powers, completing missions to free your people from a conquering army. It focuses on stealth, agility, and cooperative gameplay as you eliminate enemies and unravel your clan’s fate.",eng,text/plain,,,,,Multiplayer;Single-Player,,
bitburner,Bitburner,"Fulcrum Games, Hydroflame, over 250 GitHub contributors",Fulcrum Games,2021-12-10,,Video game,"Bitburner is an incremental hacking simulation game where you write scripts to automate cyberattacks, grow networks, and earn money. It blends coding with strategy, letting you expand your influence through corporations, factions, and increasingly complex systems.",eng,text/plain,,,,,Single-Player,,
fallout4,Fallout 4,Bethesda Game Studios,Bethesda Softworks,2015-11-09,,Video game,"Fallout 4 is an open-world post-apocalyptic RPG set in the ruins of Boston, where you search for your missing son while navigating factions and rebuilding settlements. It combines exploration, combat, and player choice with crafting and base-building systems that shape the wasteland around you.",eng,text/plain,,,,,Single-Player,,
hardspace,Hardspace: Shipbreaker,Blackbird Interactive,Blackbird Interactive,2022-05-24,,Video game,"Hardspace: Shipbreaker is a physics-based simulation game where you work as a space salvager, carefully dismantling derelict ships for profit. It emphasizes strategy and precision as you manage hazards like decompression, fuel lines, and gravity while paying off an enormous corporate debt.",eng,text/plain,,,,,Single-Player,,
risk2,Risk Of Rain 2,Hopoo Games,Gearbox Publishing,2020-08-11,,Video game,"Risk of Rain 2 is a third-person roguelike shooter where you battle increasingly difficult enemies on alien planets, collecting items to enhance your abilities. It features cooperative multiplayer, randomization, and escalating challenges that test skill, strategy, and adaptability.",eng,text/plain,,,,,Multiplayer;Single-Player,,
p2,Portal 2,Valve,Valve,2011-04-18,,Video game,Portal 2 is a first-person puzzle-platformer where you use a portal gun to navigate complex test chambers and solve physics-based challenges. The game combines clever puzzles with dark humor and a story-driven narrative featuring memorable AI characters.,eng,text/plain,,,,,Multiplayer;Single-Player,,
raft,Raft,Redbeet Interactive,Axolot Games,2022-06-20,,Video game,"Raft is a survival game where you start on a small raft in the middle of the ocean, gathering resources and expanding your floating base. Players must manage hunger, thirst, and threats like sharks while exploring islands and crafting tools to survive.",eng,text/plain,,,,,Multiplayer;Single-Player,,
sdfas,asdf,sadf,asdf,2022-06-20,,Video game,sd,eng,text/plain,,,,,,,
